Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR13776208,2021-02-24 15:35:38,2021-02-24 08:36:51,77386,21401109,77386,276,7,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR013/13776/SRR13776208/SRR13776208.lite.1,SRX10161782,19-05_3d_serum_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313485,SAMN18038813,simple,12110,Foot-and-mouth disease virus,19-05_3d_serum_nsb18,,,,,,,no,,,,,USDA,SRA1199403,,public,71025FFDFCCA0E587B83C3CC45B7E573,4C69CD5791DA5A825E5647DDB5E1E871
SRR13776207,2021-02-24 15:35:38,2021-02-24 08:37:42,763526,221323807,763526,289,76,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13776/SRR13776207/SRR13776207.lite.1,SRX10161783,19-05_3d_ves_dp_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313486,SAMN18038843,simple,12110,Foot-and-mouth disease virus,19-05_3d_ves_dp_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,8236A38A5CDAB8C96BA2B1CBD6DBB12F,6EA142BA620A2541EBD7C477510948BD
SRR13776196,2021-02-24 15:35:38,2021-02-24 08:38:36,961203,276095448,961203,287,97,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13776/SRR13776196/SRR13776196.lite.1,SRX10161794,19-05_3d_ves_lf_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313497,SAMN18038840,simple,12110,Foot-and-mouth disease virus,19-05_3d_ves_lf_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,496B4A9A6C24E74C7F6114D65D2CFCF8,82697EB0C3D667F60A4FA5C200F69C95
SRR13776185,2021-02-24 15:35:38,2021-02-24 08:38:18,829937,233843393,829937,281,83,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776185/SRR13776185.lite.1,SRX10161805,19-05_3d_ves_lh_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313508,SAMN18038841,simple,12110,Foot-and-mouth disease virus,19-05_3d_ves_lh_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,83AABD4D1CA8B94860B63084EE15217E,186EAE7F5E1C62307816E8A84E804439
SRR13776174,2021-02-24 15:35:39,2021-02-24 08:37:36,1066366,310649564,1066366,291,108,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776174/SRR13776174.lite.1,SRX10161816,19-05_3d_ves_rf_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313519,SAMN18038842,simple,12110,Foot-and-mouth disease virus,19-05_3d_ves_rf_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,2D1CCCF590AD50AAD7EB8A5A96EDAB29,F009AC976AFFFA439A89CD468A8CCC54
SRR13776163,2021-02-24 15:35:39,2021-02-24 08:38:35,1395324,401079674,1395324,287,140,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776163/SRR13776163.lite.1,SRX10161827,19-05_3d_ves_rh_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313530,SAMN18038844,simple,12110,Foot-and-mouth disease virus,19-05_3d_ves_rh_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,2F40C592539DFF28A7418536A754253F,3DEE219BC9CEB7B2D40AA687CF31C80A
SRR13776152,2021-02-24 15:35:39,2021-02-24 08:36:19,89640,13386326,89640,149,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR013/13776/SRR13776152/SRR13776152.lite.1,SRX10161838,19-05_4d_serum_nsb17,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313541,SAMN18038847,simple,12110,Foot-and-mouth disease virus,19-05_4d_serum_nsb17,,,,,,,no,,,,,USDA,SRA1199403,,public,AD0FBD488504496C1AC50B03609B51AE,AA7AE1AA9476F4FA87ECED2D89074F6F
SRR13776141,2021-02-24 15:35:40,2021-02-24 08:36:58,852104,245409771,852104,288,88,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776141/SRR13776141.lite.1,SRX10161849,19-05_4d_ves_dp_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313552,SAMN18038846,simple,12110,Foot-and-mouth disease virus,19-05_4d_ves_dp_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,D96319104F181CC62C01741981220B51,BAF89BA978CAFBDADF81BEC69545D7D9
SRR13776130,2021-02-24 15:35:40,2021-02-24 10:27:18,1047481,305540946,1047481,291,109,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776130/SRR13776130.lite.1,SRX10161860,19-05_4d_ves_rf_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313563,SAMN18038845,simple,12110,Foot-and-mouth disease virus,19-05_4d_ves_rf_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,9FF70FFEC079BE751AC1593FCCE2F0DB,BC51DDC736936B23712430E3570D723F
SRR13776126,2021-02-24 15:35:40,2021-02-24 08:37:10,1505489,438488075,1505489,291,150,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776126/SRR13776126.lite.1,SRX10161864,19-05_4d_ves_rh_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313567,SAMN18038814,simple,12110,Foot-and-mouth disease virus,19-05_4d_ves_rh_nsb18,,,,,,,no,,,,,USDA,SRA1199403,,public,A9C9FFCFBE39CD24541960923FF6E4F0,B5D20F5150B58EC516BBA0207C30F956
